label,text
code,Write a Python function to check if a string is a palindrome
code,Fix this NullPointerException in my Java code
code,Écris une fonction Go qui calcule le PGCD de deux entiers
code,Implement a binary search tree with insert and delete operations
code,How do I make an HTTP GET request in Rust
code,Debug this SQL query — it returns duplicate rows
code,Create a React component that fetches data from an API
code,Refactor this function to reduce cyclomatic complexity
code,Write a shell script to backup files older than 7 days
code,Écris un middleware Express.js pour la gestion des erreurs
code,Convert this callback-based code to async/await
code,Implement a thread-safe queue in C++
code,Write a Dockerfile for a Node.js application
code,Add pagination to this SQLAlchemy query
code,Génère des tests unitaires pour cette classe Python
code,How do I parse JSON in Go using the standard library
code,Write a regex to extract email addresses from text
code,Implement the Observer design pattern in TypeScript
code,Crée un script Python pour lire et analyser un fichier CSV
code,Fix the race condition in this concurrent Go program
code,Write a GraphQL resolver for a user profile query
code,How do I use dependency injection in Spring Boot
code,Implémente un cache LRU en Python
code,Create a CLI tool that accepts flags and subcommands in Go
code,Write a function to flatten a nested JSON object
code,How do I debounce a function in JavaScript
code,Écris une requête SQL pour trouver les doublons dans une table
code,Implement OAuth2 token refresh logic in Python
code,What is the difference between a goroutine and a thread
code,Write a recursive function to traverse a directory tree
code,Crée une API REST avec FastAPI et une base SQLite
code,How do I mock an HTTP client in Go unit tests
code,Implement a rate limiter using a token bucket algorithm
code,Debug why my React component re-renders infinitely
code,Écris un pipeline de traitement de données avec pandas
code,Write a WebSocket server in Node.js
code,How do I use generics in Go
code,Implémente un algorithme de tri fusion en JavaScript
code,Add retry logic with exponential backoff to this HTTP client
code,Write a cron job in Python to send daily email reports
code,How do I handle database migrations in a Go project
code,Écris un hook React pour gérer le fetch de données avec cache
code,Implement a simple pub/sub event bus in TypeScript
code,Why is my Docker container using so much memory
code,Write a function that deep-clones a JavaScript object
code,Comment optimiser cette requête Postgres qui est lente
code,Generate a Terraform resource to create an S3 bucket with versioning
code,Write a Python decorator to measure function execution time
code,How do I implement server-sent events in Go
code,Écris un parseur de fichier INI en C
translation,Translate this email from English to French
translation,Traduis ce contrat en anglais
translation,How do you say the word deadline in German
translation,Translate the following product description to Spanish
translation,Traduis ce message d'erreur en français
translation,What is the Japanese word for software engineer
translation,Translate these UI labels to Italian
translation,Traduis ce rapport technique en anglais pour nos partenaires
translation,Convert this French user manual to English
translation,How do you say we apologize for the inconvenience in Portuguese
translation,Translate the tagline of this marketing campaign to Dutch
translation,Traduis en arabe ce texte de présentation
translation,What is the Russian translation of open source
translation,Translate this legal disclaimer to Chinese
